Ano do BO (RDO);Data do Acidente;Tipo do veiculo da vitima;Tipo de vitima;Tipo de acidente;Sexo;Idade da vitima
2023;28/02/2023;MOTOCICLETA;CONDUTOR;NAO DISPONIVEL;MASCULINO;21
2023;28/02/2023;MOTOCICLETA;CONDUTOR;COLISAO;MASCULINO;55
2023;28/02/2023;PEDESTRE;PEDESTRE;ATROPELAMENTO;FEMININO;89
2023;28/02/2023;NAO DISPONIVEL;NAO DISPONIVEL;ATROPELAMENTO;FEMININO;78
2023;05/02/2023;CAMINHAO;NAO DISPONIVEL;COLISAO;MASCULINO;35
2023;28/02/2023;AUTOMOVEL;CONDUTOR;CHOQUE;MASCULINO;61
2023;28/02/2023;PEDESTRE;PEDESTRE;ATROPELAMENTO;MASCULINO;58
2023;28/02/2023;MOTOCICLETA;CONDUTOR;COLISAO;MASCULINO;36
2023;28/02/2023;AUTOMOVEL;CONDUTOR;COLISAO;FEMININO;59
2023;28/02/2023;MOTOCICLETA;CONDUTOR;CHOQUE;MASCULINO;50
2023;28/02/2023;CAMINHAO;CONDUTOR;COLISAO;MASCULINO;74
2023;27/02/2023;AUTOMOVEL;CONDUTOR;CHOQUE;MASCULINO;64
2023;27/02/2023;MOTOCICLETA;CONDUTOR;COLISAO;MASCULINO;19
2023;26/02/2023;PEDESTRE;PEDESTRE;ATROPELAMENTO;MASCULINO;52
2023;27/02/2023;MOTOCICLETA;CONDUTOR;COLISAO;FEMININO;54
2023;27/02/2023;PEDESTRE;PEDESTRE;ATROPELAMENTO;MASCULINO;63
2023;27/02/2023;MOTOCICLETA;PASSAGEIRO;OUTROS;FEMININO;22
2023;27/02/2023;MOTOCICLETA;CONDUTOR;COLISAO;MASCULINO;36
2023;26/02/2023;CAMINHAO;CONDUTOR;OUTROS;MASCULINO;NAO DISPONIVEL
2023;26/02/2023;MOTOCICLETA;CONDUTOR;COLISAO;MASCULINO;41
2023;26/02/2023;MOTOCICLETA;CONDUTOR;COLISAO;MASCULINO;25
2023;26/02/2023;AUTOMOVEL;CONDUTOR;CHOQUE;FEMININO;39
2023;26/02/2023;PEDESTRE;PEDESTRE;ATROPELAMENTO;FEMININO;78
2023;26/02/2023;MOTOCICLETA;CONDUTOR;CHOQUE;MASCULINO;37
2023;26/02/2023;MOTOCICLETA;CONDUTOR;CHOQUE;MASCULINO;17
2023;24/02/2023;MOTOCICLETA;CONDUTOR;NAO DISPONIVEL;MASCULINO;37
2023;26/02/2023;AUTOMOVEL;CONDUTOR;OUTROS;FEMININO;68
2023;21/02/2023;MOTOCICLETA;CONDUTOR;OUTROS;MASCULINO;30
2023;26/02/2023;MOTOCICLETA;CONDUTOR;COLISAO;MASCULINO;49
2023;26/02/2023;MOTOCICLETA;CONDUTOR;COLISAO;MASCULINO;28
2023;26/02/2023;MOTOCICLETA;PASSAGEIRO;COLISAO;MASCULINO;29
2023;26/02/2023;MOTOCICLETA;PASSAGEIRO;CHOQUE;FEMININO;29
2023;26/02/2023;AUTOMOVEL;CONDUTOR;CHOQUE;MASCULINO;21
2023;26/02/2023;PEDESTRE;PEDESTRE;ATROPELAMENTO;MASCULINO;57
2023;26/02/2023;AUTOMOVEL;CONDUTOR;OUTROS;MASCULINO;70
2023;26/02/2023;AUTOMOVEL;PASSAGEIRO;CHOQUE;MASCULINO;35
2023;26/02/2023;MOTOCICLETA;CONDUTOR;COLISAO;MASCULINO;27
2023;26/02/2023;MOTOCICLETA;CONDUTOR;OUTROS;MASCULINO;20
2023;20/01/2023;NAO DISPONIVEL;NAO DISPONIVEL;NAO DISPONIVEL;MASCULINO;52
2023;26/02/2023;MOTOCICLETA;PASSAGEIRO;COLISAO;MASCULINO;25
2023;26/02/2023;MOTOCICLETA;CONDUTOR;COLISAO;MASCULINO;25
2023;25/02/2023;MOTOCICLETA;PASSAGEIRO;OUTROS;FEMININO;29
2023;25/02/2023;AUTOMOVEL;NAO DISPONIVEL;OUTROS;MASCULINO;32
2023;25/02/2023;AUTOMOVEL;NAO DISPONIVEL;OUTROS;MASCULINO;34
2023;13/02/2023;BICICLETA;CONDUTOR;OUTROS;MASCULINO;89
2023;25/02/2023;AUTOMOVEL;CONDUTOR;CHOQUE;MASCULINO;30
2023;25/02/2023;MOTOCICLETA;CONDUTOR;COLISAO;MASCULINO;57
2023;25/02/2023;MOTOCICLETA;CONDUTOR;ATROPELAMENTO;MASCULINO;26
2023;25/02/2023;MOTOCICLETA;CONDUTOR;CHOQUE;MASCULINO;35
2023;25/02/2023;MOTOCICLETA;CONDUTOR;COLISAO;MASCULINO;42
2023;25/02/2023;MOTOCICLETA;CONDUTOR;CHOQUE;MASCULINO;37
2023;25/02/2023;MOTOCICLETA;PASSAGEIRO;CHOQUE;FEMININO;31
2023;25/02/2023;MOTOCICLETA;CONDUTOR;COLISAO;MASCULINO;20
2023;08/01/2023;MOTOCICLETA;CONDUTOR;CHOQUE;MASCULINO;58
2023;25/02/2023;AUTOMOVEL;CONDUTOR;COLISAO;FEMININO;48
2023;23/02/2023;CAMINHAO;PASSAGEIRO;COLISAO;MASCULINO;35
2023;25/02/2023;AUTOMOVEL;PASSAGEIRO;COLISAO;FEMININO;31
2023;24/02/2023;MOTOCICLETA;CONDUTOR;COLISAO;FEMININO;53
2023;20/02/2023;PEDESTRE;PEDESTRE;ATROPELAMENTO;FEMININO;60
2023;23/02/2023;NAO DISPONIVEL;NAO DISPONIVEL;NAO DISPONIVEL;FEMININO;44
2023;24/02/2023;MOTOCICLETA;CONDUTOR;ATROPELAMENTO;MASCULINO;42
2023;20/02/2023;MOTOCICLETA;CONDUTOR;OUTROS;MASCULINO;22
2023;25/01/2023;NAO DISPONIVEL;NAO DISPONIVEL;ATROPELAMENTO;MASCULINO;74
2023;24/02/2023;PEDESTRE;PEDESTRE;ATROPELAMENTO;MASCULINO;50
2023;24/02/2023;MOTOCICLETA;CONDUTOR;COLISAO;MASCULINO;30
2023;24/02/2023;MOTOCICLETA;CONDUTOR;COLISAO;MASCULINO;25
2023;24/02/2023;AUTOMOVEL;CONDUTOR;COLISAO;MASCULINO;41
2023;10/02/2023;MOTOCICLETA;CONDUTOR;ATROPELAMENTO;MASCULINO;50
2023;24/02/2023;CAMINHAO;CONDUTOR;CHOQUE;MASCULINO;41
2023;14/02/2023;MOTOCICLETA;CONDUTOR;CHOQUE;MASCULINO;65
2023;15/02/2023;AUTOMOVEL;CONDUTOR;COLISAO;MASCULINO;44
2023;24/02/2023;MOTOCICLETA;CONDUTOR;COLISAO;FEMININO;27
2023;24/02/2023;BICICLETA;CONDUTOR;COLISAO;MASCULINO;63
2023;24/02/2023;CAMINHAO;CONDUTOR;COLISAO;MASCULINO;62
2023;21/02/2023;AUTOMOVEL;CONDUTOR;COLISAO;MASCULINO;65
2023;23/02/2023;MOTOCICLETA;PASSAGEIRO;OUTROS;MASCULINO;17
2023;24/02/2023;PEDESTRE;PEDESTRE;ATROPELAMENTO;MASCULINO;NAO DISPONIVEL
2023;24/02/2023;MOTOCICLETA;CONDUTOR;COLISAO;FEMININO;23
2023;01/02/2023;NAO DISPONIVEL;PASSAGEIRO;NAO DISPONIVEL;FEMININO;66
2023;20/02/2023;BICICLETA;CONDUTOR;NAO DISPONIVEL;MASCULINO;58
2023;19/02/2023;AUTOMOVEL;PASSAGEIRO;COLISAO;MASCULINO;18
2023;23/02/2023;BICICLETA;CONDUTOR;COLISAO;MASCULINO;55
2023;09/02/2023;PEDESTRE;PEDESTRE;ATROPELAMENTO;MASCULINO;88
2023;23/02/2023;CAMINHAO;PASSAGEIRO;COLISAO;MASCULINO;37
2023;23/02/2023;AUTOMOVEL;PASSAGEIRO;COLISAO;FEMININO;57
2023;23/02/2023;AUTOMOVEL;CONDUTOR;COLISAO;MASCULINO;61
2023;22/02/2023;BICICLETA;CONDUTOR;COLISAO;MASCULINO;54
